hostname,pl_name,CHZ,OHZ
HD 132406,HD 132406 b,53,61
HIP 12961,HIP 12961 b,0,62
HIP 97233,HIP 97233 b,22,56
Teegarden's Star,Teegarden's Star c,100,100
HR 810,HR 810 b,0,49
K2-288 B,K2-288 B b,100,100
TOI-2285,TOI-2285 b,12,58
GJ 3293,GJ 3293 d,100,100
Ross 128,Ross 128 b,0,55
GJ 180,GJ 180 c,89,100
HD 23127,HD 23127 b,38,48
HD 196050,HD 196050 b,39,46
HD 215497,HD 215497 c,26,29
HD 28254,HD 28254 b,19,25
TOI-1227,TOI-1227 b,100,100
HD 125612,HD 125612 b,44,65
HD 205739,HD 205739 b,0,20
HD 20868,HD 20868 b,16,22
HD 211810,HD 211810 b,11,17
HD 73534,HD 73534 b,100,100
HD 221585,HD 221585 b,100,100
HD 238914,HD 238914 b,27,57
HD 67087,HD 67087 c,10,14
HD 31253,HD 31253 b,0,42
55 Cnc,55 Cnc f,69,100
HD 12661,HD 12661 b,27,59
HD 4203,HD 4203 b,61,75
30 Ari B,30 Ari B b,0,24
HD 7199,HD 7199 b,57,69
HD 79498,HD 79498 b,11,13
GJ 3021,GJ 3021 b,0,47
HD 175167,HD 175167 b,29,42
HD 190647,HD 190647 b,43,52
Kepler-1600,Kepler-1600 b,100,100
Kepler-441,Kepler-441 b,0,24
Kepler-436,Kepler-436 b,0,48
Kepler-61,Kepler-61 b,27,65
Kepler-309,Kepler-309 c,0,100
Kepler-1840,Kepler-1840 b,0,100
Kepler-1362,Kepler-1362 b,0,100
Kepler-150,Kepler-150 f,100,100
Kepler-1649,Kepler-1649 c,100,100
Kepler-1638,Kepler-1638 b,0,100
Kepler-56,Kepler-56 d,0,44
HD 210277,HD 210277 b,76,86
HD 10180,HD 10180 g,89,100
HD 11506,HD 11506 b,24,27
Kepler-1544,Kepler-1544 b,100,100
Kepler-1634,Kepler-1634 b,100,100
Kepler-1701,Kepler-1701 b,0,100
Kepler-69,Kepler-69 c,0,41
Kepler-1545,Kepler-1545 b,0,100
Kepler-1593,Kepler-1593 b,0,100
Kepler-1318,Kepler-1318 b,100,100
Kepler-442,Kepler-442 b,100,100
Kepler-539,Kepler-539 c,15,17
Kepler-1229,Kepler-1229 b,100,100
KOI-3680,KOI-3680 b,0,34
Kepler-712,Kepler-712 c,100,100
Kepler-1143,Kepler-1143 c,100,100
Kepler-1881,Kepler-1881 b,0,100
Kepler-1628,Kepler-1628 b,100,100
Kepler-351,Kepler-351 d,0,100
Kepler-1552,Kepler-1552 b,0,100
Kepler-443,Kepler-443 b,70,100
Kepler-1868,Kepler-1868 b,100,100
Kepler-62,Kepler-62 e,0,100
Kepler-1652,Kepler-1652 b,100,100
Kepler-174,Kepler-174 d,100,100
Kepler-452,Kepler-452 b,0,100
Kepler-1653,Kepler-1653 b,0,100
Kepler-1410,Kepler-1410 b,0,100
Kepler-1090,Kepler-1090 b,0,100
Kepler-1058,Kepler-1058 b,0,100
Kepler-1704,Kepler-1704 b,24,32
Kepler-1519,Kepler-1519 b,0,100
PH2,PH2 b,61,77
LHS 1140,LHS 1140 b,100,100
HD 169830,HD 169830 c,35,40
Kepler-1097,Kepler-1097 b,0,100
KIC 9663113,KIC 9663113 b,100,100
Kepler-991,Kepler-991 b,0,100
KOI-142,Kepler-88 d,0,4
KIC 10525077,KIC 10525077 b,100,100
KOI-351,KOI-351 h,0,100
Kepler-438,Kepler-438 b,0,7
Kepler-298,Kepler-298 d,0,100
Kepler-1341,Kepler-1341 b,0,100
Kepler-1625,Kepler-1625 b,0,100
Kepler-705,Kepler-705 b,100,100
Kepler-296,Kepler-296 f,78,100
Kepler-97,Kepler-97 c,100,100
Kepler-419,Kepler-419 c,13,69
Kepler-283,Kepler-283 c,100,100
KIC 5437945,KIC 5437945 b,0,100
Kepler-967,Kepler-967 c,0,100
HD 1605,HD 1605 c,100,100
Kepler-62,Kepler-62 f,100,100
Kepler-68,Kepler-68 d,100,100
Kepler-454,Kepler-454 c,100,100
Kepler-1632,Kepler-1632 b,0,100
Kepler-1606,Kepler-1606 b,0,100
Kepler-424,Kepler-424 c,0,100
Kepler-296,Kepler-296 e,33,63
Kepler-1540,Kepler-1540 b,100,100
Kepler-440,Kepler-440 b,40,66
Kepler-1554,Kepler-1554 b,0,100
Kepler-22,Kepler-22 b,0,100
HD 9174,HD 9174 b,100,100
HD 165155,HD 165155 b,100,100
WASP-47,WASP-47 c,84,100
HD 180617,HD 180617 b,65,100
HD 75898,HD 75898 b,0,35
HD 23596,HD 23596 b,40,47
HD 148164,HD 148164 b,42,64
Kepler-1549,Kepler-1549 b,0,100
Kepler-1086,Kepler-1086 c,100,100
Kepler-1635,Kepler-1635 b,100,100
Kepler-186,Kepler-186 f,100,100
Kepler-553,Kepler-553 c,100,100
Kepler-315,Kepler-315 c,0,100
Kepler-1690,Kepler-1690 b,0,100
Kepler-1636,Kepler-1636 b,100,100
K2-72,K2-72 e,20,100
HD 66428,HD 66428 b,5,8
HAT-P-44,HAT-P-44 c,22,24
HD 92788,HD 92788 b,51,72
HD 30562,HD 30562 b,20,28
HD 102365,HD 102365 b,0,33
Teegarden's Star,Teegarden's Star b,0,100
BD+45 564,BD+45 564 b,44,100
WASP-41,WASP-41 c,81,100
HD 164509,HD 164509 b,0,60
HD 17674,HD 17674 b,100,100
HD 11964,HD 11964 b,0,41
HD 133131 A,HD 133131 A b,57,75
HD 81040,HD 81040 b,21,23
HIP 109384,HIP 109384 b,27,38
HIP 5158,HIP 5158 b,15,17
HD 99109,HD 99109 b,100,100
K2-332,K2-332 b,0,100
K2-3,K2-3 d,0,100
HD 213240,HD 213240 b,68,90
HD 48265,HD 48265 b,59,100
HIP 67851,HIP 67851 c,36,83
HD 75784,HD 75784 c,3,6
HD 120084,HD 120084 b,33,60
HD 190984,HD 190984 b,6,8
HD 216520,HD 216520 c,14,100
HD 137496,HD 137496 c,45,66
HD 50554,HD 50554 b,23,26
BD+14 4559,BD+14 4559 b,84,100
BD-17 63,BD-17 63 b,13,15
HD 128356,HD 128356 b,32,45
HD 100777,HD 100777 b,71,87
HD 141937,HD 141937 b,40,60
GJ 3323,GJ 3323 c,10,23
Wolf 1061,Wolf 1061 c,0,75
HD 156279,HD 156279 b,17,55
HD 31527,HD 31527 d,0,57
GJ 682,GJ 682 b,100,100
HD 8535,HD 8535 b,21,32
HD 69830,HD 69830 d,0,80
HIP 109600,HIP 109600 b,14,74
HD 124330,HD 124330 b,0,38
GJ 667 C,GJ 667 C f,100,100
GJ 667 C,GJ 667 C c,100,100
GJ 357,GJ 357 d,100,100
KELT-6,KELT-6 c,100,100
K2-18,K2-18 b,46,83
GJ 667 C,GJ 667 C e,100,100
HD 220773,HD 220773 b,0,3
HD 196067,HD 196067 b,11,15
HD 16175,HD 16175 b,41,58
TOI-700,TOI-700 d,63,100
HD 106270,HD 106270 b,100,100
GJ 96,GJ 96 b,60,76
HD 44219,HD 44219 b,65,77
HD 39091,HD 39091 b,14,15
HD 142415,HD 142415 b,68,80
HD 10647,HD 10647 b,35,46
HD 13167,HD 13167 b,20,32
GJ 514,GJ 514 b,34,38
HD 217786,HD 217786 b,33,38
HD 159868,HD 159868 b,100,100
HD 152079,HD 152079 b,0,4
HD 154857,HD 154857 b,0,42
HIP 67537,HIP 67537 b,49,68
HD 10697,HD 10697 b,100,100
HIP 56640,HIP 56640 b,84,100
HD 153950,HD 153950 b,57,77
HD 108874,HD 108874 b,77,100
HD 163607,HD 163607 c,100,100
HD 188015,HD 188015 b,100,100
HD 18015,HD 18015 b,100,100
HD 4113,HD 4113 b,27,36
HD 148156,HD 148156 b,22,28
HD 219828,HD 219828 c,5,7
TRAPPIST-1,TRAPPIST-1 d,0,100
HD 207832,HD 207832 c,0,6
HD 132563,HD 132563 b,35,42
K2-125,K2-125 b,0,3
HD 24040,HD 24040 c,49,100
TRAPPIST-1,TRAPPIST-1 f,100,100
HD 38283,HD 38283 b,0,49
HD 40979,HD 40979 b,0,28
HD 125390,HD 125390 b,36,61
16 Cyg B,16 Cyg B b,21,29
K2-9,K2-9 b,0,100
HD 111998,HD 111998 b,100,100
TRAPPIST-1,TRAPPIST-1 g,100,100
TRAPPIST-1,TRAPPIST-1 e,100,100
Proxima Cen,Proxima Cen b,75,94
HD 218566,HD 218566 b,77,100
HD 221287,HD 221287 b,74,100
HD 222582,HD 222582 b,31,44
HD 45350,HD 45350 b,16,22
HD 82943,HD 82943 b,56,100
HD 22781,HD 22781 b,10,14
kap CrB,kap CrB b,0,51
HD 94834,HD 94834 b,40,100
KIC 7917485,KIC 7917485 b,0,39
HD 216437,HD 216437 b,36,42
GJ 1132,GJ 1132 c,0,40
Kepler-1654,Kepler-1654 b,34,40
TOI-2257,TOI-2257 b,79,88
GJ 273,GJ 273 b,29,100
GJ 414 A,GJ 414 A b,0,48
WASP-53,WASP-53 c,3,4
47 UMa,47 UMa b,43,100
HD 147379,HD 147379 b,35,100
BD+49 828,BD+49 828 b,26,60
BD-06 1339,BD-06 1339 c,90,100
GJ 1061,GJ 1061 c,27,63
HD 181720,HD 181720 b,91,100
HD 20782,HD 20782 b,23,31
HD 219415,HD 219415 b,43,59
HD 216770,HD 216770 b,0,13
HD 38801,HD 38801 b,0,100
HD 13908,HD 13908 c,80,100
HD 65216,HD 65216 b,61,73
HD 564,HD 564 b,100,100
BD+63 1405,BD+63 1405 b,8,12
HD 183263,HD 183263 b,77,95
HD 147513,HD 147513 b,86,100
HD 155358,HD 155358 c,0,54
HD 142022 A,HD 142022 A b,8,10
HD 27442,HD 27442 b,0,34
HD 114729,HD 114729 b,100,100
HD 134987,HD 134987 b,0,39
HD 156411,HD 156411 b,28,69
HD 156846,HD 156846 b,27,59
HD 28185,HD 28185 b,100,100
HD 196885 A,HD 196885 A b,28,42
HD 170469,HD 170469 b,30,45
HD 207832,HD 207832 b,0,31
HD 2039,HD 2039 b,15,21
HD 34445,HD 34445 b,61,73
HD 45364,HD 45364 b,40,88
iot Dra,iot Dra c,16,18
HD 38529,HD 38529 c,50,57
HD 168443,HD 168443 c,15,24
HD 63765,HD 63765 b,98,100
HIP 57274,HIP 57274 d,19,61
HD 80606,HD 80606 b,0,54
HD 216435,HD 216435 b,100,100
HD 108341,HD 108341 b,5,7
Wolf 1061,Wolf 1061 d,0,3
HIP 14810,HIP 14810 d,21,30
HD 191806,HD 191806 b,27,32
GJ 3293,GJ 3293 b,0,100
HD 5319,HD 5319 c,0,9
HD 103891,HD 103891 b,64,91
HD 214823,HD 214823 b,69,100
HD 126614,HD 126614 b,28,32
HD 7449,HD 7449 b,7,9
HD 80869,HD 80869 b,6,8
HD 219077,HD 219077 b,6,8
HD 23079,HD 23079 b,100,100
HD 96167,HD 96167 b,51,68
HD 85390,HD 85390 b,25,33
HD 95089,HD 95089 c,47,74
HD 142245,HD 142245 b,0,100
HD 40307,HD 40307 g,82,100
HD 70573,HD 70573 b,21,24
HD 98649,HD 98649 b,3,3
HD 224538,HD 224538 b,37,56
HD 55696,HD 55696 b,13,18
HD 86264,HD 86264 b,23,32
HD 8673,HD 8673 b,15,21
HD 187085,HD 187085 b,56,67
HD 106515 A,HD 106515 A b,0,3
HD 137388,HD 137388 b,80,100
HD 155193,HD 155193 b,0,38
HD 197037,HD 197037 b,40,48
GJ 1061,GJ 1061 d,78,87
HD 43197,HD 43197 b,37,52
HD 192310,HD 192310 c,33,38
HD 171028,HD 171028 b,0,44
BD+55 362,BD+55 362 b,0,49
HD 34445,HD 34445 f,100,100
HD 4732,HD 4732 c,78,100
GJ 1148,GJ 1148 b,84,100
BD-08 2823,BD-08 2823 c,0,62
HD 82943,HD 82943 c,0,35
HD 10442,HD 10442 b,100,100
HD 141399,HD 141399 d,24,48
HD 93083,HD 93083 b,0,42
HD 159243,HD 159243 c,0,30
HD 45364,HD 45364 c,100,100
HIP 75092,HIP 75092 b,0,39
HIP 114933,HIP 114933 b,0,52
HD 106252,HD 106252 b,18,20
HD 109286,HD 109286 b,79,100
BD-11 4672,BD-11 4672 c,25,58
HD 331093,HD 331093 b,45,65
HD 29021,HD 29021 b,8,11
HD 27969,HD 27969 b,96,100
Kepler-1708,Kepler-1708 b,44,67
Ross 508,Ross 508 b,43,69
