hostname,KOI,Prot,e_Prot,db
Kepler-1206,2355,18.467,0.004,mcq13
Kepler-49,248,18.507,0.009,mcq13
Kepler-1872,2734,10.838,0.004,mcq13
Kepler-529,339,27.584,3.939,mcq13
Kepler-402,2722,8.959,0.114,mcq13
Kepler-84,1589,19.32,0.444,mcq13
Kepler-1011,1911,17.263,0.037,mcq13
Kepler-27,841,14.741,0.011,mcq13
Kepler-436,2529,16.005,0.004,mcq13
Kepler-619,601,11.004,0.004,mcq13
Kepler-350,2025,3.158,0.741,mcq13
Kepler-1245,2458,25.766,0.447,mcq13
Kepler-61,1361,35.078,0.924,mcq13
Kepler-898,1584,32.049,0.027,mcq13
Kepler-241,842,37.595,0.342,mcq13
Kepler-314,1692,25.684,1.272,mcq13
Kepler-51,620,8.222,0.007,mcq13
Kepler-658,739,38.684,0.257,mcq13
Kepler-227,752,24.924,2.799,mcq13
Kepler-260,986,19.203,0.005,mcq13
Kepler-1089,2090,36.421,0.051,mcq13
Kepler-1124,2156,28.464,0.088,mcq13
Kepler-235,812,38.562,0.099,mcq13
Kepler-642,673,4.79,0.172,mcq13
Kepler-551,430,16.064,0.01,mcq13
Kepler-243,857,26.234,3.926,mcq13
Kepler-221,720,9.399,0.004,mcq13
KOI-217,217,19.768,0.096,mcq13
Kepler-412,202,17.343,1.751,mcq13
Kepler-254,934,24.523,0.114,mcq13
Kepler-1009,1907,18.181,0.006,mcq13
Kepler-236,817,15.433,0.005,mcq13
Kepler-1381,2898,14.524,0.021,mcq13
Kepler-703,851,7.654,0.009,mcq13
Kepler-616,593,15.084,0.025,mcq13
Kepler-1712,247,16.367,0.011,mcq13
Kepler-522,318,4.919,0.007,mcq13
Kepler-1335,2747,23.411,0.016,mcq13
Kepler-1285,2593,8.667,0.088,mcq13
Kepler-383,2413,29.778,0.214,mcq13
Kepler-1882,2848,22.999,0.041,mcq13
Kepler-664,755,20.479,0.435,mcq13
Kepler-450,279,20.796,0.016,mcq13
Kepler-617,596,37.726,0.193,mcq13
Kepler-346,1978,22.223,0.143,mcq13
Kepler-211,678,13.845,0.007,mcq13
Kepler-257,941,21.679,0.042,mcq13
Kepler-1724,599,20.082,2.279,mcq13
Kepler-267,1078,21.627,0.215,mcq13
Kepler-1205,2350,10.909,0.003,mcq13
Kepler-1749,1408,25.488,0.028,mcq13
Kepler-1814,2250,24.32,0.02,mcq13
Kepler-1067,2039,17.422,0.024,mcq13
Kepler-336,1916,10.258,0.06,mcq13
Kepler-1793,2091,19.19,1.129,mcq13
Kepler-252,912,11.055,0.003,mcq13
Kepler-1181,2303,2.444,0.091,mcq13
Kepler-1107,2119,17.985,0.019,mcq13
Kepler-975,1845,39.707,0.265,mcq13
Kepler-423,183,22.047,0.121,mcq13
Kepler-65,85,7.911,0.155,mcq13
Kepler-1395,2961,11.871,0.075,mcq13
Kepler-1995,2037,10.74,0.006,mcq13
Kepler-1295,2625,16.526,0.022,mcq13
Kepler-349,2022,7.799,0.001,mcq13
Kepler-1815,2259,23.131,0.456,mcq13
Kepler-464,107,17.332,0.133,mcq13
Kepler-1782,1985,25.791,0.223,mcq13
Kepler-229,757,15.94,0.615,mcq13
Kepler-198,624,15.369,0.01,mcq13
Kepler-670,767,24.066,0.092,mcq13
Kepler-1197,2339,18.057,0.013,mcq13
Kepler-118,216,27.678,0.035,mcq13
Kepler-561,464,26.336,0.121,mcq13
Kepler-134,295,15.72,1.388,mcq13
Kepler-26,250,17.918,0.005,mcq13
Kepler-159,448,10.466,0.004,mcq13
Kepler-354,2045,28.364,0.088,mcq13
Kepler-859,1480,26.757,0.058,mcq13
Kepler-1062,2031,15.786,0.025,mcq13
Kepler-1833,2367,11.216,0.065,mcq13
Kepler-722,911,18.524,0.079,mcq13
Kepler-199,638,17.787,0.309,mcq13
Kepler-1650,1702,34.4,0.172,mcq13
Kepler-210,676,12.314,0.003,mcq13
Kepler-1681,2132,21.572,0.512,mcq13
Kepler-333,1908,24.23,0.039,mcq13
Kepler-203,658,15.238,1.856,mcq13
Kepler-1439,3144,32.785,6.015,mcq13
Kepler-1202,2346,20.532,3.037,mcq13
Kepler-1840,2469,36.823,0.607,mcq13
Kepler-780,1150,33.043,0.49,mcq13
Kepler-353,2036,32.402,0.028,mcq13
Kepler-1389,2931,31.324,3.068,mcq13
Kepler-127,271,10.117,0.213,mcq13
Kepler-716,892,23.593,0.069,mcq13
KOI-984,984,7.978,0.005,mcq13
Kepler-411,1781,10.44,0.002,mcq13
Kepler-564,470,18.987,0.065,mcq13
Kepler-138,314,19.394,0.013,mcq13
Kepler-878,1521,31.046,0.378,mcq13
Kepler-610,581,18.139,0.051,mcq13
Kepler-304,1557,14.176,0.004,mcq13
Kepler-447,1800,6.459,0.003,mcq13
Kepler-1167,2266,28.078,0.172,mcq13
Kepler-1779,1969,12.666,0.094,mcq13
Kepler-1153,2242,16.185,0.027,mcq13
Kepler-1770,1842,11.223,0.015,mcq13
Kepler-191,582,21.246,0.009,mcq13
Kepler-917,1637,12.953,0.065,mcq13
Kepler-326,1835,9.646,0.002,mcq13
Kepler-327,1867,25.09,4.406,mcq13
Kepler-296,1422,35.856,0.056,mcq13
Kepler-580,503,30.724,0.212,mcq13
Kepler-615,588,20.965,0.053,mcq13
Kepler-193,590,13.302,0.411,mcq13
Kepler-560,463,49.93,0.301,mcq13
KOI-12,12,1.245,0.124,mcq13
Kepler-1048,2005,16.002,0.014,mcq13
Kepler-1254,2485,23.318,0.087,mcq13
Kepler-1692,2849,33.389,0.127,mcq13
Kepler-1788,2060,21.966,0.024,mcq13
Kepler-334,1909,16.675,0.115,mcq13
Kepler-148,398,29.205,0.103,mcq13
Kepler-1756,1590,32.244,3.861,mcq13
Kepler-954,1797,10.821,0.003,mcq13
Kepler-668,765,18.958,0.044,mcq13
Kepler-1388,2926,23.907,0.066,mcq13
Kepler-416,1860,21.473,1.376,mcq13
Kepler-723,913,24.865,2.729,mcq13
Kepler-989,1870,33.227,0.989,mcq13
Kepler-102,82,26.572,0.153,mcq13
Kepler-1656,367,23.373,2.254,mcq13
Kepler-674,778,35.835,0.033,mcq13
Kepler-25,244,23.147,0.039,mcq13
Kepler-1669,1475,26.839,0.026,mcq13
Kepler-111,139,16.957,0.105,mcq13
Kepler-753,1024,21.721,0.028,mcq13
Kepler-787,1202,36.409,0.087,mcq13
Kepler-358,2080,21.723,0.047,mcq13
Kepler-593,538,17.233,0.354,mcq13
Kepler-718,897,14.979,0.322,mcq13
Kepler-1179,2300,28.694,1.749,mcq13
Kepler-1342,2778,25.386,3.175,mcq13
Kepler-1845,2490,22.749,0.06,mcq13
Kepler-1880,2835,23.531,0.007,mcq13
Kepler-523,323,7.643,0.006,mcq13
Kepler-1978,1942,21.23,0.052,mcq13
Kepler-141,338,30.772,6.044,mcq13
Kepler-307,1576,25.892,0.44,mcq13
Kepler-613,586,26.991,3.62,mcq13
Kepler-318,1779,7.154,0.003,mcq13
Kepler-52,775,11.953,0.006,mcq13
Kepler-83,898,22.045,0.011,mcq13
Kepler-732,936,36.007,0.144,mcq13
Kepler-1312,2675,5.998,0.001,mcq13
Kepler-1052,2012,13.24,0.038,mcq13
Kepler-1860,2581,29.908,0.217,mcq13
Kepler-1040,1989,18.792,0.033,mcq13
Kepler-622,610,37.03,0.236,mcq13
Kepler-968,1833,10.581,0.007,mcq13
Kepler-1683,2293,25.846,2.994,mcq13
Kepler-285,1305,26.948,1.399,mcq13
Kepler-678,783,41.148,0.55,mcq13
Kepler-339,1931,16.916,0.005,mcq13
Kepler-294,1396,24.371,0.073,mcq13
Kepler-1874,2760,40.358,5.038,mcq13
Kepler-1853,2535,11.171,0.048,mcq13
Kepler-970,1838,9.191,0.004,mcq13
Kepler-312,1628,5.692,0.943,mcq13
Kepler-200,654,18.937,2.194,mcq13
Kepler-164,474,15.35,0.047,mcq13
Kepler-478,165,32.208,0.174,mcq13
Kepler-140,327,24.517,0.228,mcq13
Kepler-247,884,33.838,3.5,mcq13
Kepler-32,952,36.22,0.256,mcq13
Kepler-1050,2007,15.0,0.043,mcq13
Kepler-531,345,35.053,0.221,mcq13
Kepler-1671,1738,35.873,1.281,mcq13
Kepler-727,922,22.635,0.04,mcq13
Kepler-1852,2532,28.011,0.029,mcq13
Kepler-1688,2733,12.372,0.004,mcq13
Kepler-185,569,31.78,0.665,mcq13
Kepler-1891,2982,13.487,0.007,mcq13
Kepler-1826,2329,35.128,0.059,mcq13
Kepler-913,1627,25.487,0.404,mcq13
Kepler-1298,2632,11.059,0.011,mcq13
Kepler-1847,2507,10.859,0.219,mcq13
Kepler-1337,2751,22.36,0.033,mcq13
Kepler-289,1353,8.648,0.009,mcq13
Kepler-263,999,22.745,0.054,mcq13
Kepler-224,733,21.878,0.063,mcq13
Kepler-1219,2390,29.067,0.088,mcq13
Kepler-1027,1961,20.582,0.013,mcq13
Kepler-1366,2839,17.776,0.008,mcq13
Kepler-9,377,16.746,0.077,mcq13
Kepler-828,1367,29.832,5.058,mcq13
Kepler-977,1847,21.184,0.056,mcq13
Kepler-785,1176,18.293,0.014,mcq13
Kepler-1178,2298,18.165,0.025,mcq13
Kepler-46,872,27.859,0.075,mcq13
Kepler-249,899,36.422,0.336,mcq13
Kepler-1066,2035,7.043,0.008,mcq13
Kepler-332,1905,23.637,0.107,mcq13
Kepler-1221,2397,23.306,0.114,mcq13
Kepler-1012,1913,21.837,0.486,mcq13
Kepler-303,1515,41.897,0.141,mcq13
Kepler-1674,1892,25.948,0.137,mcq13
Kepler-736,943,34.789,2.122,mcq13
Kepler-17,203,12.159,0.029,mcq13
Kepler-114,156,34.549,0.12,mcq13
Kepler-1318,2703,27.399,0.037,mcq13
Kepler-1084,2075,8.513,1.079,mcq13
Kepler-1242,2448,28.943,4.107,mcq13
Kepler-319,1805,13.371,0.012,mcq13
Kepler-85,2038,23.498,0.066,mcq13
Kepler-1996,1871,44.099,8.057,mcq13
Kepler-1046,2002,10.116,0.617,mcq13
Kepler-928,1687,24.682,0.047,mcq13
Kepler-1361,2832,37.089,0.72,mcq13
Kepler-301,1436,22.686,0.208,mcq13
Kepler-1802,2174,11.549,0.004,mcq13
Kepler-971,1839,6.248,0.001,mcq13
Kepler-1148,2223,17.019,0.017,mcq13
Kepler-1099,2104,21.901,2.111,mcq13
Kepler-587,530,24.081,0.19,mcq13
Kepler-691,818,34.586,0.038,mcq13
Kepler-419,1474,4.492,0.012,mcq13
Kepler-81,877,13.417,0.001,mcq13
Kepler-176,520,34.16,0.075,mcq13
Kepler-317,1760,15.151,0.012,mcq13
Kepler-901,1588,31.026,0.426,mcq13
Kepler-345,1977,13.019,0.012,mcq13
Kepler-195,598,25.828,0.024,mcq13
Kepler-186,571,34.404,0.075,mcq13
Kepler-190,579,29.985,0.172,mcq13
Kepler-995,1881,18.436,0.009,mcq13
Kepler-150,408,17.558,0.03,mcq13
Kepler-1229,2418,17.62,0.003,mcq13
Kepler-54,886,34.891,0.081,mcq13
Kepler-1983,3061,29.484,4.498,mcq13
Kepler-1784,2023,22.289,0.69,mcq13
Kepler-55,904,13.736,0.002,mcq13
Kepler-39,423,4.464,0.013,mcq13
Kepler-1725,635,8.885,0.318,mcq13
Kepler-158,446,31.299,1.096,mcq13
Kepler-155,438,26.762,0.021,mcq13
Kepler-321,1809,21.125,1.785,mcq13
Kepler-984,1854,24.384,1.472,mcq13
Kepler-1014,1920,26.377,0.027,mcq13
Kepler-395,2650,19.981,0.007,mcq13
Kepler-325,1832,14.168,0.009,mcq13
Kepler-908,1615,7.732,0.003,mcq13
Kepler-990,1875,31.085,1.232,mcq13
Kepler-1783,2001,16.362,0.02,mcq13
Kepler-389,2473,28.051,0.108,mcq13
Kepler-1143,2210,23.389,0.053,mcq13
Kepler-207,665,15.425,0.213,mcq13
Kepler-1987,1358,32.585,2.258,mcq13
Kepler-1031,1972,20.981,0.465,mcq13
Kepler-961,1818,15.836,0.006,mcq13
Kepler-169,505,25.433,0.089,mcq13
Kepler-400,2711,13.409,0.03,mcq13
Kepler-1902,3090,27.227,0.091,mcq13
Kepler-949,1751,23.948,0.037,mcq13
Kepler-556,444,26.398,3.668,mcq13
Kepler-105,115,16.846,0.15,mcq13
Kepler-80,500,25.567,0.252,mcq13
Kepler-1265,2520,29.793,0.25,mcq13
Kepler-686,809,16.493,0.059,mcq13
Kepler-1187,2314,12.757,0.013,mcq13
Kepler-348,2011,3.878,0.002,mcq13
Kepler-75,889,19.375,0.03,mcq13
Kepler-222,723,10.983,0.018,mcq13
Kepler-1892,2989,28.728,3.98,mcq13
Kepler-1108,2121,17.892,0.008,mcq13
Kepler-100,41,24.988,2.192,mcq13
Kepler-506,257,7.86,0.047,mcq13
Kepler-1992,3052,27.82,0.267,mcq13
Kepler-944,1732,17.677,0.006,mcq13
Kepler-1665,650,36.367,0.522,mcq13
Kepler-322,1820,18.991,0.012,mcq13
Kepler-648,694,22.842,0.508,mcq13
Kepler-1224,2403,10.378,0.187,mcq13
Kepler-1672,1822,11.534,0.07,mcq13
Kepler-1830,2358,5.831,0.025,mcq13
Kepler-30,806,16.004,0.017,mcq13
Kepler-1321,2715,41.425,0.25,mcq13
Kepler-1795,2117,19.31,0.014,mcq13
Kepler-220,719,30.786,0.021,mcq13
Kepler-1036,1980,22.065,0.03,mcq13
Kepler-1120,2146,29.354,0.014,mcq13
Kepler-1819,2299,17.049,0.044,mcq13
Kepler-585,517,19.317,0.077,mcq13
Kepler-530,344,24.15,0.455,mcq13
Kepler-396,2672,13.272,0.014,mcq13
Kepler-819,1329,28.728,5.356,mcq13
Kepler-245,869,19.444,0.039,mcq13
Kepler-173,511,14.998,0.581,mcq13
Kepler-66,1958,10.527,0.011,mcq13
Kepler-755,1050,29.807,0.238,mcq13
Kepler-131,283,17.523,0.127,mcq13
Kepler-1393,2951,22.57,0.102,mcq13
Kepler-994,1880,19.26,0.032,mcq13
Kepler-24,1102,10.08,0.154,mcq13
Kepler-548,421,31.61,3.058,mcq13
Kepler-1035,1979,33.935,0.079,mcq13
Kepler-549,427,26.28,0.216,mcq13
Kepler-1895,3027,17.299,0.014,mcq13
Kepler-1985,2851,11.241,0.021,mcq13
Kepler-2000,253,37.125,0.755,mcq13
