TIC_ID,Prot,eProt,Flare_star,Variability_Classification,Data_Release,
2758565,3.577,0.313,no,Unambiguous_Rotation,04/01/22,
4070275,5.092,0.272,no,Unambiguous_Rotation,04/01/22,
7439481,1.374,0.039,no,Unambiguous_Rotation,04/01/22,
11111899,3.707,0.313,no,Unambiguous_Rotation,04/01/22,
20182165,2.049,0.055,no,Unambiguous_Rotation,04/01/22,
20897611,3.621,0.34,no,Unambiguous_Rotation,04/01/22,
21755546,2.406,0.055,no,Unambiguous_Rotation,04/01/22,
25139786,5.285,0.723,no,Unambiguous_Rotation,04/01/22,
27194429,1.845,0.095,no,Unambiguous_Rotation,04/01/22,
29918916,5.685,0.746,no,Unambiguous_Rotation,04/01/22,
33091633,2.123,0.098,no,Unambiguous_Rotation,04/01/22,
33690636,4.434,0.406,no,Unambiguous_Rotation,04/01/22,
35582553,2.118,0.092,yes,Unambiguous_Rotation,04/01/22,
42015200,10.941,1.387,yes,Unambiguous_Rotation,04/01/22,
42755801,3.841,0.304,no,Unambiguous_Rotation,04/01/22,
82707763,4.447,0.506,no,Unambiguous_Rotation,04/01/22,
92013169,2.374,0.117,no,Unambiguous_Rotation,04/01/22,
97158538,2.510,0.066,no,Unambiguous_Rotation,04/01/22,
100097716,3.040,0.108,no,Unambiguous_Rotation,04/01/22,
100757807,3.081,0.099,no,Unambiguous_Rotation,04/01/22,
102283403,2.430,0.122,no,Unambiguous_Rotation,04/01/22,
105840719,5.579,0.65,no,Unambiguous_Rotation,04/01/22,
108835813,2.063,0.092,no,Unambiguous_Rotation,04/01/22,
115242351,5.677,0.784,no,Unambiguous_Rotation,04/01/22,
115623434,7.715,0.408,no,Unambiguous_Rotation,04/01/22,
128449971,2.281,0.107,no,Unambiguous_Rotation,04/01/22,
134404603,4.706,0.469,yes,Unambiguous_Rotation,04/01/22,
142019343,5.580,0.03,no,Unambiguous_Rotation,04/01/22,
143994283,5.714,0.698,no,Unambiguous_Rotation,04/01/22,
146520535,3.304,0.225,yes,Unambiguous_Rotation,04/01/22,
154459165,5.355,0.611,no,Unambiguous_Rotation,04/01/22,
154927364,6.396,0.388,no,Unambiguous_Rotation,04/01/22,
159873822,3.821,0.109,no,Unambiguous_Rotation,04/01/22,
160328683,2.535,0.069,yes,Unambiguous_Rotation,04/01/22,
170889511,5.163,0.708,no,Unambiguous_Rotation,04/01/22,
176772671,1.451,0.058,no,Unambiguous_Rotation,04/01/22,
178367144,4.594,0.474,no,Unambiguous_Rotation,04/01/22,
180991313,2.774,0.19,no,Unambiguous_Rotation,04/01/22,
198187049,10.169,0.234,no,Unambiguous_Rotation,04/01/22,
198610218,2.631,0.13,yes,Unambiguous_Rotation,04/01/22,
202426247,4.287,0.068,no,Unambiguous_Rotation,04/01/22,
207277638,2.883,0.172,no,Unambiguous_Rotation,04/01/22,
219508169,8.703,0.781,no,Unambiguous_Rotation,04/01/22,
219821826,5.862,0.241,no,Unambiguous_Rotation,04/01/22,
230075227,10.512,0.205,no,Unambiguous_Rotation,04/01/22,
231630147,7.932,1.354,no,Unambiguous_Rotation,04/01/22,
232568235,8.085,0.465,no,Unambiguous_Rotation,04/01/22,
236815160,2.792,0.081,no,Unambiguous_Rotation,04/01/22,
237924601,0.974,0.008,no,Unambiguous_Rotation,04/01/22,
238164799,2.499,0.03,no,Unambiguous_Rotation,04/01/22,
242120884,1.398,0.039,no,Unambiguous_Rotation,04/01/22,
242536549,2.543,0.128,no,Unambiguous_Rotation,04/01/22,
248434716,1.422,0.043,yes,Unambiguous_Rotation,04/01/22,
248434780,3.705,0.289,no,Unambiguous_Rotation,04/01/22,
253434221,3.636,0.258,no,Unambiguous_Rotation,04/01/22,
259353953,2.840,0.174,no,Unambiguous_Rotation,04/01/22,
265077027,4.328,0.412,no,Unambiguous_Rotation,04/01/22,
268301217,6.463,0.942,no,Unambiguous_Rotation,04/01/22,
277871306,3.701,0.36,no,Unambiguous_Rotation,04/01/22,
284450803,3.289,0.106,no,Unambiguous_Rotation,04/01/22,
289988797,4.322,0.427,no,Unambiguous_Rotation,04/01/22,
291555748,4.899,0.252,no,Unambiguous_Rotation,04/01/22,
294179385,3.553,0.261,no,Unambiguous_Rotation,04/01/22,
294500964,5.561,0.661,no,Unambiguous_Rotation,04/01/22,
295562522,5.111,0.57,no,Unambiguous_Rotation,04/01/22,
299023386,1.784,0.083,no,Unambiguous_Rotation,04/01/22,
301160638,8.058,1.241,no,Unambiguous_Rotation,04/01/22,
302518439,3.800,0.297,no,Unambiguous_Rotation,04/01/22,
305767364,1.610,0.051,no,Unambiguous_Rotation,04/01/22,
309254930,1.265,0.041,no,Unambiguous_Rotation,04/01/22,
312083267,3.806,0.285,no,Unambiguous_Rotation,04/01/22,
324395151,2.753,0.167,no,Unambiguous_Rotation,04/01/22,
325468685,1.964,0.092,no,Unambiguous_Rotation,04/01/22,
326919774,1.312,nan,no,Unambiguous_Rotation,04/01/22,
349088467,5.068,0.596,no,Unambiguous_Rotation,04/01/22,
351603103,5.572,0.767,no,Unambiguous_Rotation,04/01/22,
352229268,5.031,0.466,no,Unambiguous_Rotation,04/01/22,
354519019,5.279,0.148,no,Unambiguous_Rotation,04/01/22,
360630575,4.900,0.467,no,Unambiguous_Rotation,04/01/22,
370745311,4.812,0.524,no,Unambiguous_Rotation,04/01/22,
375225453,3.202,0.241,no,Unambiguous_Rotation,04/01/22,
406855039,3.817,0.138,no,Unambiguous_Rotation,04/01/22,
426077080,2.743,0.14,no,Unambiguous_Rotation,04/01/22,
434260570,1.269,0.034,yes,Unambiguous_Rotation,04/01/22,
435680451,11.356,1.557,no,Unambiguous_Rotation,04/01/22,
441420236,4.694,0.228,yes,Unambiguous_Rotation,04/01/22,
453464017,2.013,0.092,no,Unambiguous_Rotation,04/01/22,
457939414,1.834,0.078,no,Unambiguous_Rotation,04/01/22,
459837008,0.670,0.002,yes,Unambiguous_Rotation,04/01/22,
459850897,3.018,0.19,no,Unambiguous_Rotation,04/01/22,
464296022,1.547,0.053,no,Unambiguous_Rotation,04/01/22,
464646604,2.183,0.102,no,Unambiguous_Rotation,04/01/22,
1003831,nan,nan,no,Ambiguous_Variability,10/09/20,
1103432,nan,nan,no,Ambiguous_Variability,10/09/20,
1129033,5.00/10.00,nan,no,Dubious_Rotation,10/09/20,
1133072,nan,nan,no,Noisy_LCs,10/09/20,
1449640,nan,nan,no,Noisy_LCs,10/09/20,
1528696,5.15/8.97,nan,no,Dubious_Rotation,10/09/20,
2760710,1.251,0.033,no,Unambiguous_Rotation,10/09/20,
4616072,nan,nan,no,Noisy_LCs,10/09/20,
4646810,nan,nan,no,Ambiguous_Variability,10/09/20,
4897275,nan,nan,no,Noisy_LCs,10/09/20,
5868998,nan,nan,no,Noisy_LCs,10/09/20,
6663331,nan,nan,no,Noisy_LCs,10/09/20,
7088246,nan,nan,no,Noisy_LCs,10/09/20,
7624182,1.624,0.029,no,Unambiguous_Rotation,10/09/20,
8400842,nan,nan,no,Noisy_LCs,10/09/20,
8767448,nan,nan,no,Noisy_LCs,10/09/20,
9006668,7.05/9.96,nan,no,Dubious_Rotation,10/09/20,
9033144,4.201,0.368,no,Unambiguous_Rotation,10/09/20,
9348006,5.329,0.592,no,Unambiguous_Rotation,10/09/20,
9725627,nan,nan,no,Noisy_LCs,10/09/20,
9727392,nan,nan,no,Binary,10/09/20,
9804616,nan,nan,no,Ambiguous_Variability,10/09/20,
9858404,nan,nan,no,Noisy_LCs,10/09/20,
11561667,nan,nan,no,Noisy_LCs,10/09/20,
12421862,nan,nan,no,Noisy_LCs,10/09/20,
12423815,nan,nan,no,Noisy_LCs,10/09/20,
12862099,nan,nan,no,Ambiguous_Variability,10/09/20,
13021029,nan,nan,no,Noisy_LCs,10/09/20,
13349647,nan,nan,no,Noisy_LCs,10/09/20,
13499636,5.595,0.921,no,Unambiguous_Rotation,10/09/20,
13684720,nan,nan,yes,Ambiguous_Variability,10/09/20,
14091633,1.363,0.022,no,Unambiguous_Rotation,10/09/20,
14091704,nan,nan,no,Noisy_LCs,10/09/20,
14165625,8.835,0.908,no,Unambiguous_Rotation,10/09/20,
14336130,nan,nan,no,Noisy_LCs,10/09/20,
14614418,nan,nan,no,Noisy_LCs,10/09/20,
14661418,nan,nan,no,Noisy_LCs,10/09/20,
15445551,nan,nan,no,Ambiguous_Variability,10/09/20,
15863518,nan,nan,no,Noisy_LCs,10/09/20,
16288184,nan,nan,no,Ambiguous_Variability,10/09/20,
16740101,nan,nan,no,Ambiguous_Variability,10/09/20,
16920150,nan,nan,no,Noisy_LCs,10/09/20,
17005768,nan,nan,no,Ambiguous_Variability,10/09/20,
17746821,nan,nan,no,Noisy_LCs,10/09/20,
19025965,nan,nan,no,Ambiguous_Variability,10/09/20,
19451711,nan,nan,no,Noisy_LCs,10/09/20,
19519368,nan,nan,no,Noisy_LCs,10/09/20,
20178111,4.928,0.675,no,Unambiguous_Rotation,10/09/20,
21535395,nan,nan,no,Noisy_LCs,10/09/20,
22221375,nan,nan,no,Ambiguous_Variability,10/09/20,
22529346,nan,nan,no,Ambiguous_Variability,10/09/20,
22843856,3.518,0.326,no,Unambiguous_Rotation,10/09/20,
23434737,nan,nan,no,Noisy_LCs,10/09/20,
25155310,nan,nan,no,Noisy_LCs,10/09/20,
25375553,nan,nan,no,Ambiguous_Variability,10/09/20,
27649847,nan,nan,no,Noisy_LCs,10/09/20,
28230919,10.189,1.104,no,Unambiguous_Rotation,10/09/20,
28900646,nan,nan,no,Noisy_LCs,10/09/20,
29054413,nan,nan,no,Noisy_LCs,10/09/20,
29191596,9.074,1.583,no,Unambiguous_Rotation,10/09/20,
29191624,nan,nan,no,Ambiguous_Variability,10/09/20,
29344935,nan,nan,no,Noisy_LCs,10/09/20,
29781292,nan,nan,no,Noisy_LCs,10/09/20,
29831208,nan,nan,no,Noisy_LCs,10/09/20,
29960109,nan,nan,no,Noisy_LCs,10/09/20,
29960110,nan,nan,no,Noisy_LCs,10/09/20,
30037565,nan,nan,no,Noisy_LCs,10/09/20,
30122649,nan,nan,no,Noisy_LCs,10/09/20,
30312676,nan,nan,no,Ambiguous_Variability,10/09/20,
30828562,nan,nan,no,Ambiguous_Variability,10/09/20,
30853470,nan,nan,no,Noisy_LCs,10/09/20,
31374837,nan,nan,no,Ambiguous_Variability,10/09/20,
31553893,nan,nan,no,Ambiguous_Variability,10/09/20,
31852980,nan,nan,no,Ambiguous_Variability,10/09/20,
31858843,nan,nan,no,Ambiguous_Variability,10/09/20,
31858844,nan,nan,no,Ambiguous_Variability,10/09/20,
32090583,nan,nan,yes,Ambiguous_Variability,10/09/20,
32497972,nan,nan,no,Noisy_LCs,10/09/20,
32499655,nan,nan,no,Noisy_LCs,10/09/20,
32830028,nan,nan,yes,Ambiguous_Variability,10/09/20,
33153766,2.863,0.186,no,Unambiguous_Rotation,10/09/20,
33521996,nan,nan,no,Noisy_LCs,10/09/20,
33692729,nan,nan,no,Noisy_LCs,10/09/20,
33831980,nan,nan,no,Noisy_LCs,10/09/20,
33878688,nan,nan,no,Noisy_LCs,10/09/20,
34068865,nan,nan,no,Ambiguous_Variability,10/09/20,
35009898,nan,nan,no,Noisy_LCs,10/09/20,
35516889,6.18/9.37,nan,no,Dubious_Rotation,10/09/20,
35857242,nan,nan,no,Noisy_LCs,10/09/20,
36352297,nan,nan,no,Noisy_LCs,10/09/20,
36440357,nan,nan,no,Noisy_LCs,10/09/20,
36724087,nan,nan,no,Noisy_LCs,10/09/20,
36734222,7.400,nan,no,Dubious_Rotation,10/09/20,
37168957,5.248,0.765,no,Unambiguous_Rotation,10/09/20,
37575651,nan,nan,no,Noisy_LCs,10/09/20,
37749396,nan,nan,no,Ambiguous_Variability,10/09/20,
37770169,nan,nan,no,Noisy_LCs,10/09/20,
38460940,nan,nan,no,Noisy_LCs,10/09/20,
38509907,nan,nan,no,Noisy_LCs,10/09/20,
38510224,nan,nan,no,Noisy_LCs,10/09/20,
38541473,3.009,0.216,no,Unambiguous_Rotation,10/09/20,
38571020,nan,nan,no,Noisy_LCs,10/09/20,
38603673,4.363,0.062,no,Unambiguous_Rotation,10/09/20,
38686737,nan,nan,no,Noisy_LCs,10/09/20,
38696105,nan,nan,no,Noisy_LCs,10/09/20,
38846515,nan,nan,no,Noisy_LCs,10/09/20,
39699648,nan,nan,no,Noisy_LCs,10/09/20,
41227743,nan,nan,no,Noisy_LCs,10/09/20,
42054565,nan,nan,no,Noisy_LCs,10/09/20,
42821097,nan,nan,no,Noisy_LCs,10/09/20,
43064903,nan,nan,no,Noisy_LCs,10/09/20,
43647325,nan,nan,no,Noisy_LCs,10/09/20,
44631965,nan,nan,no,Ambiguous_Variability,10/09/20,
44647437,nan,nan,no,Noisy_LCs,10/09/20,
44737596,nan,nan,no,Noisy_LCs,10/09/20,
44745077,nan,nan,no,Noisy_LCs,10/09/20,
44797824,1.414,0.022,no,Unambiguous_Rotation,10/09/20,
46096489,nan,nan,no,Noisy_LCs,10/09/20,
47316976,nan,nan,no,Noisy_LCs,10/09/20,
47384844,3.610,0.31,yes,Unambiguous_Rotation,10/09/20,
47484268,nan,nan,no,Noisy_LCs,10/09/20,
47525799,nan,nan,no,Noisy_LCs,10/09/20,
47911178,nan,nan,no,Ambiguous_Variability,10/09/20,
48103627,nan,nan,no,Noisy_LCs,10/09/20,
48476907,nan,nan,no,Ambiguous_Variability,10/09/20,
48476908,nan,nan,no,Ambiguous_Variability,10/09/20,
49687222,nan,nan,no,Noisy_LCs,10/09/20,
49771092,nan,nan,no,Noisy_LCs,10/09/20,
49899799,nan,nan,no,Ambiguous_Variability,10/09/20,
50309953,nan,nan,no,Noisy_LCs,10/09/20,
50312495,nan,nan,no,Noisy_LCs,10/09/20,
50618703,nan,nan,no,Ambiguous_Variability,10/09/20,
51024887,nan,nan,no,Noisy_LCs,10/09/20,
51234631,nan,nan,no,Noisy_LCs,10/09/20,
51912829,nan,nan,no,Noisy_LCs,10/09/20,
52204645,nan,nan,no,Noisy_LCs,10/09/20,
52280468,nan,nan,no,Noisy_LCs,10/09/20,
52368076,nan,nan,no,Noisy_LCs,10/09/20,
52640302,nan,nan,no,Noisy_LCs,10/09/20,
53189332,nan,nan,no,Noisy_LCs,10/09/20,
53593457,nan,nan,no,Noisy_LCs,10/09/20,
53735810,nan,nan,no,Noisy_LCs,10/09/20,
54085154,nan,nan,no,Noisy_LCs,10/09/20,
54962195,nan,nan,no,Noisy_LCs,10/09/20,
55092869,nan,nan,no,Noisy_LCs,10/09/20,
55383975,nan,nan,no,Noisy_LCs,10/09/20,
55452495,nan,nan,no,Noisy_LCs,10/09/20,
55488511,nan,nan,no,Noisy_LCs,10/09/20,
55525572,nan,nan,no,Noisy_LCs,10/09/20,
55559618,nan,nan,no,Noisy_LCs,10/09/20,
55650590,nan,nan,no,Noisy_LCs,10/09/20,
55652896,nan,nan,no,Noisy_LCs,10/09/20,
58542531,nan,nan,no,Ambiguous_Variability,10/09/20,
59003115,nan,nan,no,Noisy_LCs,10/09/20,
59843967,nan,nan,no,Noisy_LCs,10/09/20,
61538902,nan,nan,no,Noisy_LCs,10/09/20,
61988212,nan,nan,no,Noisy_LCs,10/09/20,
62483237,6.83/11.09,nan,no,Dubious_Rotation,10/09/20,
63898957,nan,nan,no,Noisy_LCs,10/09/20,
64071894,nan,nan,no,Ambiguous_Variability,10/09/20,
66818296,nan,nan,no,Noisy_LCs,10/09/20,
67418624,nan,nan,no,Noisy_LCs,10/09/20,
67646988,1.105,0.027,yes,Unambiguous_Rotation,10/09/20,
67666096,nan,nan,no,Ambiguous_Variability,10/09/20,
69679391,nan,nan,no,Noisy_LCs,10/09/20,
69747919,nan,nan,no,Noisy_LCs,10/09/20,
70440470,nan,nan,no,Noisy_LCs,10/09/20,
70513361,nan,nan,no,Noisy_LCs,10/09/20,
70797900,2.037,0.086,yes,Unambiguous_Rotation,10/09/20,
70899085,nan,nan,no,Noisy_LCs,10/09/20,
70914192,nan,nan,no,Noisy_LCs,10/09/20,
71431780,nan,nan,no,Noisy_LCs,10/09/20,
71512186,nan,nan,no,Noisy_LCs,10/09/20,
72985822,nan,nan,no,Noisy_LCs,10/09/20,
73228647,nan,nan,no,Noisy_LCs,10/09/20,
73649615,nan,nan,no,Noisy_LCs,10/09/20,
73717937,nan,nan,no,Noisy_LCs,10/09/20,
73723286,nan,nan,no,Ambiguous_Variability,10/09/20,
74534430,nan,nan,no,Noisy_LCs,10/09/20,
76923707,nan,nan,no,Ambiguous_Variability,10/09/20,
76989773,nan,nan,no,Ambiguous_Variability,10/09/20,
77031414,7.765,1.37,no,Unambiguous_Rotation,10/09/20,
77044471,11.280,nan,no,Dubious_Rotation,10/09/20,
77156829,nan,nan,no,Noisy_LCs,10/09/20,
77228304,nan,nan,no,Noisy_LCs,10/09/20,
77253676,nan,nan,no,Noisy_LCs,10/09/20,
77951245,5.388,0.338,yes,Unambiguous_Rotation,10/09/20,
78055054,nan,nan,no,Noisy_LCs,10/09/20,
78154865,4.634,0.596,no,Unambiguous_Rotation,10/09/20,
79748331,nan,nan,no,Ambiguous_Variability,10/09/20,
81212286,nan,nan,no,Noisy_LCs,10/09/20,
82128636,3.329,0.142,no,Unambiguous_Rotation,10/09/20,
82362447,nan,nan,no,Noisy_LCs,10/09/20,
83092282,nan,nan,no,Noisy_LCs,10/09/20,
85031598,nan,nan,no,Noisy_LCs,10/09/20,
85242435,nan,nan,no,Ambiguous_Variability,10/09/20,
85293053,nan,nan,no,Ambiguous_Variability,10/09/20,
86396382,nan,nan,no,Noisy_LCs,10/09/20,
88977253,nan,nan,no,Noisy_LCs,10/09/20,
89020549,nan,nan,no,Noisy_LCs,10/09/20,
89256802,nan,nan,yes,Ambiguous_Variability,10/09/20,
90504905,nan,nan,no,Noisy_LCs,10/09/20,
92226327,nan,nan,no,Noisy_LCs,10/09/20,
92352620,nan,nan,no,Noisy_LCs,10/09/20,
92359850,3.042,0.231,no,Unambiguous_Rotation,10/09/20,
93125144,1.427,0.051,yes,Unambiguous_Rotation,10/09/20,
94986319,nan,nan,no,Noisy_LCs,10/09/20,
96097215,nan,nan,no,Ambiguous_Variability,10/09/20,
97409519,nan,nan,no,Noisy_LCs,10/09/20,
98796344,1.393,0.046,yes,Unambiguous_Rotation,10/09/20,
99834717,nan,nan,no,Noisy_LCs,10/09/20,
100100827,nan,nan,no,Binary,10/09/20,
100608026,nan,nan,no,Noisy_LCs,10/09/20,
100990000,nan,nan,no,Noisy_LCs,10/09/20,
101011575,7.170,nan,no,Dubious_Rotation,10/09/20,
101230735,nan,nan,no,Ambiguous_Variability,10/09/20,
101395259,nan,nan,no,Noisy_LCs,10/09/20,
101497191,nan,nan,no,Noisy_LCs,10/09/20,
101948569,8.810,nan,no,Dubious_Rotation,10/09/20,
101955023,nan,nan,no,Noisy_LCs,10/09/20,
102195674,4.908,0.574,no,Unambiguous_Rotation,10/09/20,
102672709,nan,nan,no,Noisy_LCs,10/09/20,
103448870,3.103,0.219,no,Unambiguous_Rotation,10/09/20,
103633434,nan,nan,no,Noisy_LCs,10/09/20,
104024556,1.073,0.029,no,Unambiguous_Rotation,10/09/20,
106402532,nan,nan,no,Noisy_LCs,10/09/20,
108645766,nan,nan,no,Noisy_LCs,10/09/20,
110428269,nan,nan,no,Noisy_LCs,10/09/20,
111991770,nan,nan,no,Noisy_LCs,10/09/20,
112395568,10.780,nan,no,Dubious_Rotation,10/09/20,
115771549,nan,nan,no,Noisy_LCs,10/09/20,
116483514,nan,nan,no,Noisy_LCs,10/09/20,
116483734,nan,nan,no,Noisy_LCs,10/09/20,
117979455,nan,nan,no,Noisy_LCs,10/09/20,
117979694,8.521,1.513,no,Unambiguous_Rotation,10/09/20,
117979850,nan,nan,no,Noisy_LCs,10/09/20,
117979897,nan,nan,no,Noisy_LCs,10/09/20,
118327550,nan,nan,no,Noisy_LCs,10/09/20,
119081096,nan,nan,no,Noisy_LCs,10/09/20,
119292328,nan,nan,no,Noisy_LCs,10/09/20,
119700084,nan,nan,no,Noisy_LCs,10/09/20,
120247528,nan,nan,no,Noisy_LCs,10/09/20,
120585579,nan,nan,no,Noisy_LCs,10/09/20,
120602501,nan,nan,no,Noisy_LCs,10/09/20,
120610833,nan,nan,no,Noisy_LCs,10/09/20,
120757718,nan,nan,no,Noisy_LCs,10/09/20,
120896927,nan,nan,no,Noisy_LCs,10/09/20,
120916706,nan,nan,no,Noisy_LCs,10/09/20,
120960812,nan,nan,no,Noisy_LCs,10/09/20,
121338379,nan,nan,no,Noisy_LCs,10/09/20,
121966220,nan,nan,no,Noisy_LCs,10/09/20,
122220263,nan,nan,no,Noisy_LCs,10/09/20,
122612091,nan,nan,no,Ambiguous_Variability,10/09/20,
122613513,nan,nan,no,Noisy_LCs,10/09/20,
123482865,4.330,0.24,no,Unambiguous_Rotation,10/09/20,
123702439,nan,nan,no,Noisy_LCs,10/09/20,
124573851,nan,nan,no,Noisy_LCs,10/09/20,
125405602,nan,nan,no,Noisy_LCs,10/09/20,
125442121,nan,nan,no,Ambiguous_Variability,10/09/20,
126733133,nan,nan,no,Noisy_LCs,10/09/20,
127530399,nan,nan,no,Noisy_LCs,10/09/20,
128790976,1.361,0.04,no,Unambiguous_Rotation,10/09/20,
129979528,nan,nan,no,Pulsation,10/09/20,
130181866,6.508,0.921,no,Unambiguous_Rotation,10/09/20,
130924120,nan,nan,no,Noisy_LCs,10/09/20,
131081852,7.140,nan,no,Dubious_Rotation,10/09/20,
131419878,nan,nan,no,Noisy_LCs,10/09/20,
133334108,4.906,0.301,no,Unambiguous_Rotation,10/09/20,
134200185,nan,nan,no,Noisy_LCs,10/09/20,
134537478,nan,nan,no,Noisy_LCs,10/09/20,
137881699,nan,nan,no,Noisy_LCs,10/09/20,
137906197,nan,nan,no,Noisy_LCs,10/09/20,
138017750,2.623,0.181,no,Unambiguous_Rotation,10/09/20,
138168780,nan,nan,no,Noisy_LCs,10/09/20,
138588540,9.236,0.87,no,Unambiguous_Rotation,10/09/20,
138968089,nan,nan,no,Noisy_LCs,10/09/20,
139528693,nan,nan,no,Noisy_LCs,10/09/20,
139733308,nan,nan,no,Noisy_LCs,10/09/20,
140068425,1.064,0.024,no,Unambiguous_Rotation,10/09/20,
140691463,nan,nan,no,Noisy_LCs,10/09/20,
